dataset_name,n_cells,n_disagree,disagreement_rate,wilson95_low,wilson95_high,seed_n,seed_rate_mean,seed_rate_sd,seed_rate_min,seed_rate_max,seed_t95_low,seed_t95_high
ACS income,100,0,0.0,3.469446951953614e-18,0.03699349820698568,10,0.0,0.0,0.0,0.0,0.0,0.0
ANES96 vote,130,104,0.8,0.723078551876637,0.8597005114067041,10,0.8,0.17085467947648908,0.5384615384615384,1.0,0.6777779251243952,0.9222220748756049
Adult income,108,87,0.8055555555555556,0.7209648351663079,0.8691562227663517,10,0.8063636363636363,0.19327775395650684,0.36363636363636365,1.0,0.6681010603063524,0.9446262124209202
Combined,941,488,0.5185972369819342,0.48666210560273243,0.5503811461229966,10,0.5188839119074282,0.07783478281914104,0.4148936170212766,0.6559139784946236,0.463204262495446,0.5745635613194104
Fair affairs,129,97,0.751937984496124,0.6708487306573387,0.8184563445581876,10,0.7512820512820513,0.1817319939963854,0.38461538461538464,0.9230769230769231,0.6212788143465613,0.8812852882175413
Fertility demography,90,12,0.13333333333333333,0.07794682040686314,0.21873930500697653,10,0.13333333333333333,0.2209842057803896,0.0,0.5555555555555556,0.0,0.2914159110419148
Modechoice car,110,54,0.4909090909090909,0.39938291230163087,0.583048795612881,10,0.4909090909090909,0.34603884663321693,0.0,1.0,0.24336781224664178,0.7384503695715401
RAND HIE visits,130,112,0.8615384615384616,0.7917354543069554,0.9105880322139944,10,0.8615384615384617,0.15298906554026973,0.5384615384615384,1.0,0.7520966769709823,0.9709802461059411
Star98 education,144,22,0.1527777777777778,0.1031088593295453,0.22049088868645247,10,0.160989010989011,0.339258710299463,0.0,1.0,0.0,0.4036800723018972
