prompt_search_family,budget,coverage_target,n_cells,attained_rate,mean_frontier_set_size,mean_coverage,mean_point_risk,mean_valid_methods
component_grid,40,0.8,3,1.0,0.9642857142857143,0.9071428571428571,0.06666666666666665,4.0
fixed_only,40,0.8,3,1.0,1.0904761904761904,0.9309523809523809,0.07142857142857144,2.0
oprolite_minimax,40,0.8,3,1.0,0.9666666666666667,0.9071428571428571,0.06666666666666665,4.0
seed_selection,40,0.8,3,1.0,1.0904761904761904,0.9309523809523809,0.07142857142857144,4.0
component_grid,80,0.8,3,1.0,0.9266666666666667,0.8633333333333333,0.07333333333333332,4.0
fixed_only,80,0.8,3,1.0,0.9366666666666666,0.8733333333333334,0.06999999999999999,2.0
oprolite_minimax,80,0.8,3,1.0,0.9033333333333333,0.8566666666666668,0.06666666666666665,4.0
seed_selection,80,0.8,3,1.0,0.9366666666666666,0.8733333333333334,0.06999999999999999,4.0
component_grid,40,0.9,3,1.0,1.1047619047619046,0.9261904761904761,0.07380952380952381,4.0
fixed_only,40,0.9,3,1.0,1.1238095238095238,0.9404761904761906,0.07380952380952381,2.0
oprolite_minimax,40,0.9,3,1.0,1.1238095238095238,0.9404761904761906,0.07380952380952381,4.0
seed_selection,40,0.9,3,1.0,1.1238095238095238,0.9404761904761906,0.07380952380952381,4.0
component_grid,80,0.9,3,1.0,0.96,0.9,0.06999999999999999,4.0
fixed_only,80,0.9,3,1.0,1.2233333333333334,0.9533333333333333,0.06999999999999999,2.0
oprolite_minimax,80,0.9,3,1.0,1.0266666666666666,0.9366666666666666,0.06999999999999999,4.0
seed_selection,80,0.9,3,1.0,1.2233333333333334,0.9533333333333333,0.06999999999999999,4.0
