dataset_name,run_label,method_family,coverage_target,n_cells,n_attained,attainment_rate,mean_coverage,mean_coverage_excess,se_coverage_excess,mean_frontier_set_size
ACS income,minimax_acs_schema_budgetgrid,llm_prompt_policy_frontier,0.8,50,50,1.0,0.8642362254827353,0.06423622548273522,0.001413783020369811,1.5023593425536241
ACS income,minimax_acs_schema_budgetgrid,llm_prompt_policy_frontier,0.9,50,50,1.0,0.9178723205390138,0.017872320539013695,0.004883883870479459,1.6463132207949585
ACS income,minimax_acs_schema_budgetgrid,reference,0.8,50,48,0.96,0.8049494323843018,0.004949432384301786,0.007263068185252109,1.1346517612901916
ACS income,minimax_acs_schema_budgetgrid,reference,0.9,50,49,0.98,0.8922397509311865,-0.007760249068813479,0.0027725211419923875,1.3497029119572403
ANES96 vote,minimax_anes_schema_budgetgrid,llm_prompt_policy_frontier,0.8,70,70,1.0,0.8700746479186628,0.07007464791866282,0.005569754604326877,0.9386203257155296
ANES96 vote,minimax_anes_schema_budgetgrid,llm_prompt_policy_frontier,0.9,60,60,1.0,0.9300712888438388,0.030071288843838674,0.004195863224642904,1.078446584354158
ANES96 vote,minimax_anes_schema_budgetgrid,reference,0.8,70,61,0.8714285714285714,0.856348555815769,0.0563485558157689,0.008444235152883655,0.9312256049960967
ANES96 vote,minimax_anes_schema_budgetgrid,reference,0.9,60,53,0.8833333333333333,0.9305682839173406,0.030568283917340504,0.0054487861424500515,1.0553571428571429
Adult income,minimax_adult_schema_budgetgrid,llm_prompt_policy_frontier,0.8,60,60,1.0,0.8688111845441377,0.06881118454413766,0.009813273538134026,1.114796553241802
Adult income,minimax_adult_schema_budgetgrid,llm_prompt_policy_frontier,0.9,50,48,0.96,0.9604062142494602,0.060406214249460195,0.002573252960993463,1.359872143705309
Adult income,minimax_adult_schema_budgetgrid,reference,0.8,70,66,0.9428571428571428,0.8156926406926407,0.015692640692640657,0.005066884722090798,1.0688239538239541
Adult income,minimax_adult_schema_budgetgrid,reference,0.9,60,60,1.0,0.9133849206349207,0.013384920634920605,0.004040420301161072,1.3287361111111113
Fair affairs,minimax_fair_schema_budgetgrid,llm_prompt_policy_frontier,0.8,70,69,0.9857142857142858,0.9052964560230007,0.10529645602300063,0.011885700137961497,1.661718566203692
Fair affairs,minimax_fair_schema_budgetgrid,llm_prompt_policy_frontier,0.9,60,60,1.0,1.0,0.09999999999999995,9.033670407611596e-18,2.0
Fair affairs,minimax_fair_schema_budgetgrid,reference,0.8,70,69,0.9857142857142858,0.8520514147688061,0.05205141476880603,0.005276510802189821,1.3501984126984128
Fair affairs,minimax_fair_schema_budgetgrid,reference,0.9,60,59,0.9833333333333333,0.9262671509281678,0.026267150928167855,0.004433072548203511,1.6045944309927358
Fertility demography,minimax_fertility_schema_budgetgrid,llm_prompt_policy_frontier,0.8,50,50,1.0,0.8976656565656566,0.0976656565656565,0.009956086064622853,1.4723822814612284
Fertility demography,minimax_fertility_schema_budgetgrid,llm_prompt_policy_frontier,0.9,40,40,1.0,0.9781111111111113,0.07811111111111109,0.004600917969879507,1.6397148823398822
Fertility demography,minimax_fertility_schema_budgetgrid,reference,0.8,50,49,0.98,0.8590882586800955,0.05908825868009539,0.009591134713931438,0.9132806196071502
Fertility demography,minimax_fertility_schema_budgetgrid,reference,0.9,40,36,0.9,0.938786275452942,0.03878627545294212,0.007251133171949927,1.0028539361872693
Modechoice car,minimax_modechoice_schema_budgetgrid,llm_prompt_policy_frontier,0.8,60,60,1.0,0.924292735042735,0.12429273504273498,0.0055831791250229735,1.6592029914529915
Modechoice car,minimax_modechoice_schema_budgetgrid,llm_prompt_policy_frontier,0.9,50,50,1.0,0.9367166666666665,0.03671666666666664,0.004754840593573539,1.735766666666667
Modechoice car,minimax_modechoice_schema_budgetgrid,reference,0.8,60,53,0.8833333333333333,0.8392041606192548,0.03920416061925491,0.006475761848131144,1.1753144654088048
Modechoice car,minimax_modechoice_schema_budgetgrid,reference,0.9,50,47,0.94,0.9221985815602836,0.02219858156028365,0.005003880286654003,1.4118085106382976
RAND HIE visits,minimax_randhie_schema_budgetgrid,llm_prompt_policy_frontier,0.8,70,70,1.0,0.8768197278911566,0.0768197278911564,0.006431332338277442,1.5205952380952383
RAND HIE visits,minimax_randhie_schema_budgetgrid,llm_prompt_policy_frontier,0.9,60,60,1.0,0.9535297619047618,0.053529761904761865,0.0037045085278535985,1.73240873015873
RAND HIE visits,minimax_randhie_schema_budgetgrid,reference,0.8,70,64,0.9142857142857143,0.8420349702380951,0.04203497023809519,0.0069205145881858976,1.4918936011904762
RAND HIE visits,minimax_randhie_schema_budgetgrid,reference,0.9,60,57,0.95,0.9210526315789472,0.02105263157894734,0.00420082243491659,1.7310275689223058
Star98 education,minimax_star98_schema_budgetgrid,llm_prompt_policy_frontier,0.8,80,74,0.925,0.8834773639185404,0.08347736391854033,0.004282614687895182,1.711155698765993
Star98 education,minimax_star98_schema_budgetgrid,llm_prompt_policy_frontier,0.9,70,70,1.0,0.9493741496598639,0.04937414965986392,0.005730816572991378,1.8156088435374151
Star98 education,minimax_star98_schema_budgetgrid,reference,0.8,80,68,0.85,0.8309132476520018,0.03091324765200194,0.006353179799750231,1.0629050811501073
Star98 education,minimax_star98_schema_budgetgrid,reference,0.9,70,57,0.8142857142857143,0.9226837928153717,0.022683792815371737,0.004711953652812416,1.3056860902255638
